antecedent,consequent,support,confidence,lift
['soda'],['oil'],0.0,0.02,1.19
['oil'],['whole_milk'],0.0,0.13,0.77
['whole_milk'],['oil'],0.0,0.01,0.77
['soda'],['ice_cream'],0.0,0.01,0.78
['ice_cream'],['soda'],0.0,0.08,0.78
['other_vegetables'],['ice_cream'],0.0,0.01,0.66
['ice_cream'],['other_vegetables'],0.0,0.08,0.66
['rolls/buns'],['ice_cream'],0.0,0.02,1.0
['ice_cream'],['rolls/buns'],0.0,0.11,1.0
['whole_milk'],['ice_cream'],0.0,0.01,0.76
['ice_cream'],['whole_milk'],0.0,0.13,0.76
['misc._beverages'],['root_vegetables'],0.0,0.06,0.88
['root_vegetables'],['misc._beverages'],0.0,0.01,0.88
['misc._beverages'],['sausage'],0.0,0.07,1.09
['sausage'],['misc._beverages'],0.0,0.02,1.09
['misc._beverages'],['other_vegetables'],0.0,0.08,0.6
['yogurt'],['misc._beverages'],0.0,0.01,0.9
['misc._beverages'],['yogurt'],0.0,0.08,0.9
['rolls/buns'],['misc._beverages'],0.0,0.01,0.73
['misc._beverages'],['rolls/buns'],0.0,0.08,0.73
['misc._beverages'],['whole_milk'],0.0,0.09,0.53
['specialty_chocolate'],['rolls/buns'],0.0,0.08,0.69
['rolls/buns'],['specialty_chocolate'],0.0,0.01,0.69
['specialty_chocolate'],['tropical_fruit'],0.0,0.08,1.21
['tropical_fruit'],['specialty_chocolate'],0.0,0.02,1.21
['specialty_chocolate'],['whole_milk'],0.0,0.08,0.5
['specialty_chocolate'],['soda'],0.0,0.09,0.86
['soda'],['specialty_chocolate'],0.0,0.01,0.86
['specialty_chocolate'],['citrus_fruit'],0.0,0.09,1.61
['citrus_fruit'],['specialty_chocolate'],0.0,0.03,1.61
['specialty_chocolate'],['other_vegetables'],0.0,0.1,0.82
['other_vegetables'],['specialty_chocolate'],0.0,0.01,0.82
['bottled_water'],['beverages'],0.0,0.02,1.02
['beverages'],['bottled_water'],0.0,0.06,1.02
['rolls/buns'],['beverages'],0.0,0.01,0.63
['beverages'],['rolls/buns'],0.0,0.07,0.63
['beverages'],['sausage'],0.0,0.09,1.48
['sausage'],['beverages'],0.0,0.02,1.48
['beverages'],['other_vegetables'],0.0,0.1,0.82
['other_vegetables'],['beverages'],0.0,0.01,0.82
['beverages'],['soda'],0.0,0.11,1.1
['soda'],['beverages'],0.0,0.02,1.1
['whole_milk'],['beverages'],0.0,0.01,0.69
['beverages'],['whole_milk'],0.0,0.12,0.69
['sausage'],['frozen_meals'],0.0,0.02,1.22
['frozen_meals'],['sausage'],0.0,0.08,1.22
['yogurt'],['frozen_meals'],0.0,0.01,0.89
['frozen_meals'],['yogurt'],0.0,0.08,0.89
['rolls/buns'],['frozen_meals'],0.0,0.01,0.76
['frozen_meals'],['rolls/buns'],0.0,0.09,0.76
['soda'],['frozen_meals'],0.0,0.02,0.9
['frozen_meals'],['soda'],0.0,0.09,0.9
['whole_milk'],['frozen_meals'],0.0,0.01,0.69
['frozen_meals'],['whole_milk'],0.0,0.12,0.69
['other_vegetables'],['frozen_meals'],0.0,0.02,1.0
['frozen_meals'],['other_vegetables'],0.0,0.13,1.0
['meat'],['soda'],0.0,0.06,0.58
['meat'],['root_vegetables'],0.0,0.08,1.1
['root_vegetables'],['meat'],0.0,0.02,1.1
['meat'],['rolls/buns'],0.0,0.08,0.69
['rolls/buns'],['meat'],0.0,0.01,0.69
['meat'],['other_vegetables'],0.0,0.13,0.99
['other_vegetables'],['meat'],0.0,0.02,0.99
['meat'],['whole_milk'],0.0,0.13,0.78
['whole_milk'],['meat'],0.0,0.01,0.78
['ham'],['tropical_fruit'],0.0,0.07,0.96
['tropical_fruit'],['ham'],0.0,0.02,0.96
['ham'],['soda'],0.0,0.07,0.69
['soda'],['ham'],0.0,0.01,0.69
['yogurt'],['ham'],0.0,0.01,0.83
['ham'],['yogurt'],0.0,0.07,0.83
['rolls/buns'],['ham'],0.0,0.01,0.65
['ham'],['rolls/buns'],0.0,0.07,0.65
['ham'],['other_vegetables'],0.0,0.09,0.74
['other_vegetables'],['ham'],0.0,0.01,0.74
['whole_milk'],['ham'],0.0,0.02,0.96
['ham'],['whole_milk'],0.0,0.16,0.96
['butter_milk'],['root_vegetables'],0.0,0.06,0.8
['root_vegetables'],['butter_milk'],0.0,0.01,0.8
['butter_milk'],['tropical_fruit'],0.0,0.06,0.83
['tropical_fruit'],['butter_milk'],0.0,0.01,0.83
['shopping_bags'],['butter_milk'],0.0,0.02,1.17
['butter_milk'],['shopping_bags'],0.0,0.06,1.17
['yogurt'],['butter_milk'],0.0,0.01,0.81
['butter_milk'],['yogurt'],0.0,0.07,0.81
['rolls/buns'],['butter_milk'],0.0,0.01,0.63
['butter_milk'],['rolls/buns'],0.0,0.07,0.63
['butter_milk'],['other_vegetables'],0.0,0.07,0.57
['other_vegetables'],['butter_milk'],0.0,0.01,0.57
['butter_milk'],['soda'],0.0,0.08,0.79
['soda'],['butter_milk'],0.0,0.01,0.79
['butter_milk'],['whole_milk'],0.0,0.1,0.57
['sugar'],['tropical_fruit'],0.0,0.06,0.82
['tropical_fruit'],['sugar'],0.0,0.01,0.82
